"","test.date","tau","g","sigma"
"82",2019-11-19,2.28601811189597,0.19004038294805,0.659117407910676
"83",2019-11-20,2.74104817906905,0.146911929494712,0.63458070946492
"84",2019-11-21,2.73336011327468,0.143689879191772,0.626702628416418
"85",2019-11-22,2.71300360462814,0.145804974255578,0.628943098163972
"86",2019-11-25,2.70521212878631,0.142264786467511,0.620367976165038
"87",2019-11-26,3.48642369860082,0.122592870275451,0.65376653952908
"88",2019-11-27,2.80170608447978,0.126898577931699,0.596265476028146
"89",2019-11-28,3.10887444236682,0.120650802938113,0.612444444586883
"90",2019-11-29,3.2426772571512,0.103809786964607,0.580191033419032
"91",2019-12-02,3.13902419686188,0.11086266568601,0.58991574832089
"92",2019-12-03,2.68092276696106,0.109746134408701,0.542421340216493
"93",2019-12-04,2.92208666695237,0.0818348730275185,0.489007762070759
