"","test.date","tau","g","sigma"
"82",2019-11-19,2.11534518961844,0.27342665246567,0.760520712411391
"83",2019-11-20,3.25998352086942,0.205550968226675,0.81859194298363
"84",2019-11-21,3.19098627150873,0.207327987104458,0.813376149484274
"85",2019-11-22,3.32346979476546,0.22390804072511,0.862642226044504
"86",2019-11-25,3.19169839576291,0.214567831288484,0.827548066824992
"87",2019-11-26,2.68109962119007,0.201535569038098,0.735076144222059
"88",2019-11-27,3.2361560955546,0.202949288708053,0.810416916001287
"89",2019-11-28,3.2588255531296,0.166263952980844,0.736087779098602
"90",2019-11-29,3.21111217669016,0.188215019554626,0.777418510924351
"91",2019-12-02,2.73952356646427,0.158438016576557,0.658820673806868
"92",2019-12-03,2.94653802544056,0.150731874603288,0.666436193618359
"93",2019-12-04,3.42877819242797,0.139963076628017,0.69274984293558
